datetime,count
2019-10-31,199
2019-11-01,178
2019-11-02,184
2019-11-03,179
2019-11-04,160
2019-11-05,206
2019-11-06,180
2019-11-07,210
2019-11-08,201
2019-11-09,190
2019-11-10,213
2019-11-11,177
2019-11-12,184
2019-11-13,161
2019-11-14,192
2019-11-15,154
2019-11-16,193
2019-11-17,193
2019-11-18,146
2019-11-19,125
2019-11-20,198
2019-11-21,110
2019-11-22,112
2019-11-23,160
2019-11-24,101
2019-11-25,93
2019-11-26,108
2019-11-27,123
2019-11-28,104
2019-11-29,111
2019-11-30,126
2019-12-01,196
2019-12-02,102
2019-12-03,130
2019-12-04,90
2019-12-05,161
2019-12-06,207
2019-12-07,117
2019-12-08,165
2019-12-09,115
2019-12-10,115
2019-12-11,131
2019-12-12,170
2019-12-13,172
2019-12-14,85
2019-12-15,170
2019-12-16,116
2019-12-17,176
2019-12-18,93
2019-12-19,134
2019-12-20,136
2019-12-21,220
2019-12-22,93
2019-12-23,180
2019-12-24,112
2019-12-25,90
2019-12-26,128
2019-12-27,166
2019-12-28,214
2019-12-29,171
2019-12-30,128
2019-12-31,176
